"country","womenRep","egalDem","suff","eduEqual"
"China",23.40140609307,0.0995,1,1.00778502225876
"Japan",9.57555178268252,0.7635,1,1.0045599937439
"United States of America",18.5704707272166,0.6835,1,0.996259987354279
"France",26.1698440207972,0.781,1,1.00114500522614
"Germany",32.7974276527331,0.826,1,0.965339988470078
"United Kingdom",22.5384615384615,0.743,1,1.01304996013641
"Brazil",9.4541910331384,0.61,1,1.02017503976822
"Chile",15.8333333333333,0.653,1,0.988065004348755
"Mexico",37.1,0.333,1,1.024110019207
"Kenya",18.8571428571429,0.3185,1,0.95169997215271
"Nigeria",5.83333333333333,0.282,1,0.897220015525818
"South Africa",42.25,0.514,1,1.00428003072738
"Oman",1.19047619047619,0.18,1,0.985589981079102
"Saudi Arabia",19.8675496688742,0.1075,0,0.964429974555969
"United Arab Emirates",22.5,0.129,0.16,0.977589994668961
"Czechia",21,0.7875,1,1.00647497177124
"Lithuania",22.3404255319149,0.744,1,0.978159993886948
"Netherlands",38.6666666666667,0.8,1,0.990740001201629
"Rwanda",61.25,0.205,1,1.01469999551773
